block,count
1879,90
1880,92
1881,46
1882,38
1883,49
1884,63
1885,57
1886,74
1888,1
1889,20
1890,37
1891,58
1892,67
1893,90
1895,26
1896,50
1897,40
1898,25
1900,1
1901,11
1902A,1
1902B,83
1902C,141
1902E,278
1902F,90
1903,7
1903A,5
1903B,2
1903C,7
1903D,3
1907,1
1911,38
1912,7
1913,22
1915,126
1918,55
1919,95
1920,37
1922,778
1923,99
1924C,109
1925A,37
1927A,35
1929,49
1930,103
1930A,58
1931,98
1932,62
1933,71
1934,46
1935,88
1936,94
1938,39
1940,1
1941,97
1942,47
1943,99
1944,49
1945,78
1946,39
1947,1
1950,1
1958,2
1976,2
1981B,38
1982,26
1987B,8
1988B,44
1989,41
1991,22
1992,21
1998A,5
1998B,5
1999B,2
2002B,72
2003A,30
2003B,24
2004,143
2005,117
2006A,34
2010,22
2011,76
2012,1
2013,29
2014A,4
2015B,37
2016,72
2017,3
2018A,13
2018B,70
2019A,70
2019B,58
2020,124
2021,122
2022A,73
2022B,39
2024,446
2028,113
2029,15
2034,21
2034A,42
2040,6
2058A,3
2059,1
2065,2
2100,109
2101,4
2107A,38
2108,7
2108A,22
2108B,31
2108C,4
2109,104
2110,57
2113,85
2118,97
2121A,22
2123A,34
2123B,111
2127,82
2131B,165
2132,29
2134,76
2135A,2
2136,58
2137,65
2138,61
2139,3
2140,93
2141,51
2142,60
2145A,6
2145B,43
2145C,1
2150,31
2151,18
2152,24
2153,121
2154,60
2155,26
2157,21
2163,34
2164,29
2165,66
2167B,61
2169,111
2170A,99
2170B,84
2171,80
2173,23
2174A,97
2174B,20
2175,102
2176,121
2177,79
2178,91
2179,47
2183,25
2183A,11
2183B,7
2183C,66
2183D,2
2185,7
2195,56
2197,41
2198,33
2199,2
2199A,16
2199B,7
2199C,41
2199D,41
2199E,23
2199F,5
2199G,16
2199H,10
2201,77
2202,10
2205,95
2206A,30
2206B,95
2207,8
2209,4
2213A,68
2213B,130
2215,8
2216,39
2217,20
2218,69
2219,54
2222,10
2222B,14
2230B,50
2230C,21
2230D,41
2230E,42
2230F,50
2230G,64
2230H,5
2230I,39
2230J,30
2230K,30
2230L,56
2243A,23
2243B,132
2243C,66
2244A,43
2244B,12
2245,3
2247,53
2248,31
2249A,52
2251,55
2252,77
2252A,45
2253,69
2254,44
2255,47
2256,47
2275,57
2275A,136
2275B,84
2275C,90
2275D,54
2275E,55
2280,38
2281,303
2281A,19
2281B,47
2282,54
2283,74
2284,38
2285,24
2286,47
2289,55
2290A,32
2292,36
2292A,51
2293,36
2294,36
2295,61
2297,30
2298,24
2298A,24
2298B,24
2299,30
2299A,38
2299B,37
2299C,69
2299D,44
2299E,62
2300,43
2301,63
2302,53
2303,43
2304,38
2305,38
2306,38
2306A,50
2307,36
2307A,55
2308,33
2309,43
2310,20
2311,44
2312,4
2313,2
2314,24
2315,60
2317A,2
2317B,1
2318,52
2319,68
2320,45
2320A,56
2321,1
2322,60
2323,73
2324,70
2325,58
2328,1
2330,10
2332C,58
2332D,52
2335A,1
2336,33
2344,22
2345,48
2347,30
2348,38
2349,61
2350,81
2351,43
2352,80
2353,34
2356,1
2358,67
2359,70
2360,61
2361,39
2362,68
2363,35
2364,48
2364A,48
2365,51
2366,46
2367,25
2369,19
2370,24
2372,27
2373,48
2375,21
2377A,98
2377B,53
2377C,84
2377D,101
2377E,40
2377F,53
2378,57
2379B,42
2380,67
2381,2
2382,53
2384,18
2385,81
2386,23
2387,39
2388,70
2388A,81
2389,31
2390,3
2391,68
2393,71
2394,49
2395,67
2396B,24
2400,42
2401A,42
2401B,48
2402,92
2403,54
2404,72
2405A,1
2406,116
2407,56
2408,69
2409A,81
2409B,82
2409C,11
2411,58
2418,53
2419,81
2424A,11
2424B,72
2425,48
2426,49
2427,24
2429,20
2432,31
2433B,19
2434,16
2438,37
2439,29
2440,47
2441,46
2442,49
2442A,40
2442B,94
2442C,42
2442D,14
2443A,45
2443B,23
2444,58
2445,67
2446A,21
2446B,58
2447,83
2448,54
2449,41
2450,67
2451,97
2452,90
2454,51
2454C,50
2455,20
2463,5
2470,68
2471,1
2472,29
2475,62
2475A,5
2475C,86
2475D,61
2475E,46
2475F,38
2475G,3
2475H,74
2475I,1
2481,40
2482,11
2482B,56
2483,50
2484,81
2485,67
2486,70
2487,121
2488,26
2489,60
2491,55
2491A,55
2491B,36
2491C,1
2500,4
2500A,6
2500B,8
2500C,64
2501,98
2503,83
2504,100
2505,24
2505A,117
2506,23
2506A,55
2507,21
2507A,59
2508,80
2509,13
2509A,22
2510,41
2511,12
2512,30
2512A,22
2513,79
2514,42
2514A,42
2515,42
2515A,42
2516,76
2517,32
2517A,22
2518,65
2520,33
2520A,22
2521,69
2522,42
2523,42
2523A,28
2523B,11
2524,39
2525,60
2526,35
2526A,22
2527,257
2528,12
2528A,1
2528C,163
2528D,31
2528E,48
2528F,48
2528G,11
2528H,34
2528J,67
2528K,55
2530,33
2530A,114
2530B,1
2530C,623
2530D,56
2532,59
2532A,19
2533,54
2535,43
2537,40
2538,44
2539,26
2540,81
2541,72
2542,51
2543,26
2544,16
2545,38
2546,32
2548,37
2550,6
2550A,207
2700,14
2700A,9
2701,17
2702,18
2703,14
2704,17
2705,22
2706,15
2707,10
2708,19
2709,22
2710,52
2712,21
2713,19
2716,56
2717,71
2717A,50
2718,47
2721,27
2722,30
2722A,16
2722B,10
2725,38
2726,20
2727,17
2728,18
2729,15
2730,22
2732,11
2732A,13
2733,18
2734,18
2734A,7
2735,11
2736,20
2737,14
2737A,10
2738,29
2739,40
2740,14
2741,26
2741A,30
2742,23
2742A,26
2743,15
2743A,24
2744,31
2744A,37
2745,31
2748,16
2748A,21
2748B,49
2748C,57
2748D,38
2748E,28
2748F,9
2750,49
2750A,30
2750B,40
2752,69
2752A,33
2754,50
2755,49
2800,44
2801,4
2802,2
2804A,39
2804B,51
2805A,14
2808,48
2809,38
2810,17
2811,3
2812,17
2813,22
2814,26
2817,57
2818,17
2819,16
2820,12
2821,11
2822,3
2823A,9
2823B,6
2824,12
2825,11
2826A,5
2826B,30
2826C,18
2826D,23
2826E,9
2827,11
2828,11
2829,12
2830,12
2831,10
2832,11
2833,13
2834,13
2835,34
2835A,27
2836,10
2837,12
2838,14
2839,14
2840,14
2841,9
2842,9
2843,11
2844,12
2845,12
2846,28
2847,20
2848,16
2849,77
2849A,17
2849B,11
2850,14
2851,28
2852,30
2854,22
2855,23
2856,21
2870,12
2870A,9
2872,48
2873,6
2874,8
2875,7
2878,3
2880,26
2880A,4
2880B,40
2880C,25
2880D,19
2880E,18
2880F,25
2900,5
2901,16
2902,30
2903,22
2904,15
2905,5
2906,13
2908,27
2909,18
2910,19
2911,30
2912,26
2913,69
2914,19
2915,16
2916,17
2917,13
2918,14
2919,15
2920,16
2921,22
2922,10
2923,13
2924,19
2930,11
2931,15
2932,17
2933,18
2934,22
2935,18
2936,19
2937,28
2938,52
2939,39
2940,33
2941,26
2942,24
2947,39
2948,93
2949,63
2950,37
2951,32
2951A,39
2951B,33
2951C,45
2951D,53
2952,8
2956,43
2957,13
2958,13
2959,21
2959B,138
2960,83
2961,26
2962,27
2963,22
2975,99
3000,15
3001,8
3002,25
3003,88
3004,78
3005,43
3006,30
3007,11
3008,36
3010,26
3011,21
3012,49
3013,59
3014,32
3015,12
3016,9
3017,17
3018,5
3019,15
3020,11
3021,37
3022,27
3023,62
3024,51
3031,44
3032,61
3033,67
3034,36
3035,8
3036,11
3037,5
3038,13
3039,65
3041,57
3042,77
3043,75
3044,39
3055A,43
3055B,37
3057,37
3058,47
3059A,97
3059B,40
3061A,45
3061B,277
3063,46
3065,17
3065A,17
3066C,39
3066D,38
3067,17
3068,1
3069,15
3070,32
3070A,20
3085,232
3085A,73
3085B,59
3099,10
3100A,18
3100B,38
3100C,1
3100D,72
3100E,61
3100F,43
3100G,45
3100H,45
3100I,43
3100J,42
3100K,1
3100L,64
3100M,40
3100N,67
3100P,64
3100Q,53
3100R,43
3101,17
3102,20
3103,19
3104,19
3105,5
3106,38
3107,17
3108,17
3109,18
3110,19
3111,16
3112,116
3113,36
3114,37
3115,34
3116,35
3117,35
3118,22
3118A,39
3118B,37
3118C,33
3118D,32
3118E,20
3119,47
3120,45
3121,37
3122,14
3123,35
3123A,40
3123B,29
3123C,25
3123D,30
3163,13
3165,84
3167,32
3168,27
3169,22
3170,25
3171,24
3172,53
3173,54
3175A,35
3176,45
3176A,16
3177,46
3177A,31
3182,79
3183,33
3183A,33
3185,88
3185A,24
3186,34
3187,43
3190,65
3190A,26
3190B,20
3193,24
3193A,32
3196,30
3196A,2
3196B,3
3196C,23
3196E,45
3196F,34
3197,35
3200,15
3202,2
3203,55
3204,34
3205,81
3206,68
3207,97
3208,81
3209,86
3210,123
3211,95
3212,91
3213,66
3214,117
3227,56
3228A,58
3228B,91
3228C,33
3229,41
3230,36
3232,38
3232A,43
3233,20
3234,45
3235,49
3236,64
3237,24
3238,21
3239,37
3240,27
3241,30
3242,32
3243,16
3244,65
3250,52
3251,19
3252,74
3254,27
3257,6
3257A,14
3257B,13
3258,2
3259,32
3260,54
3261A,53
3262,2
3262A,55
3262B,70
3262C,96
3262E,2
3262F,6
3263,53
3264,83
3265,20
3265A,19
3265B,19
3265C,34
3267,29
3268,36
3269,21
3270,16
3301,275
3302,6
3303,34
3304,29
3305,18
3305A,24
3307,16
3307A,84
3307B,35
3311,34
3312,48
3312A,27
3321,23
3322,47
3323,59
3324,50
3325,47
3326,56
3327A,57
3327B,24
3327C,79
3327D,48
3327E,3
3327F,69
3327G,46
3327H,46
3327I,47
3335,66
3340,48
3341,66
3342,76
3342A,87
3345,63
3347,43
3347A,37
3347B,31
3347C,59
3347D,45
3347E,44
3347F,64
3349,35
3349A,24
3349B,22
3350,46
3350A,51
3350B,59
3350D,116
3350E,34
3350F,31
3350G,31
